HomeworkType,Difficulty,Subject,Length,StudyHours,PreviousCompletionTime,StudentFocusLevel,TeacherClarity,SubmissionUrgency,ResourcesProvided,CompletionTime
Coding,Easy,Math,44,7.170034735921584,97.31185582388416,0.27941094052406484,0.36189945060819684,Low,Partial,280.3059711458574
Presentation,Easy,Science,33,1.8782691602240453,82.81495477898976,0.471129838547213,0.8820631945188067,Low,None,46.61226579931986
Research,Hard,Math,9,12.487828136380582,75.71090663029584,0.16504925281585894,0.9140075304062445,High,Partial,130.78099235341787
Presentation,Moderate,Literature,9,1.1907982328293456,31.016044117894115,0.6182072764969704,0.10067293753347796,Medium,None,234.74593551978361
Presentation,Easy,History,4,11.037863750438852,82.40994075087923,0.8682890940470007,0.6347227523297961,High,None,139.04075463268583
Math Problems,Hard,Math,35,11.721640215674645,19.90205262460377,0.7527583759190997,0.7473705481226023,Low,Partial,284.85012722524203
Research,Moderate,Literature,17,5.612737785968443,189.62168863822012,0.42435463604870016,0.6568722842118456,Low,Partial,148.26285032214852
Research,Easy,Math,34,12.459423916027907,101.59239261034269,0.17836408501957737,0.1735117883797186,High,Full,264.35773059676137
Research,Moderate,Math,24,7.977061384918574,112.09788143357967,0.2819344593027437,0.295952408919012,Low,Full,246.0860123082472
Presentation,Hard,History,32,7.217757972455554,215.52675488353026,0.5909413064453521,0.3253062406432474,Medium,Full,294.5810962976247
Coding,Easy,Computer Science,1,1.158347581296042,161.35264628808076,0.2863513750447296,0.8485521681745807,High,Partial,279.066117514028
Research,Moderate,Computer Science,8,4.705423307909135,11.853593768687551,0.5895758001564708,0.5168794926780285,Medium,Partial,270.96529289317044
Presentation,Easy,Math,45,13.999644577836847,226.93020928109553,0.308439122287509,0.5381453907471132,Medium,None,223.50723704804847
Math Problems,Moderate,Science,23,6.18144746761075,64.54322717487358,0.8640314825284655,0.9414037418990577,Low,Full,119.59447197144291
Coding,Hard,Literature,47,8.42715754807314,34.75126249476753,0.4575443255564138,0.673377299969244,Medium,None,45.245744290997195
Math Problems,Hard,Science,40,8.214314345271651,186.6694810276029,0.320995563350042,0.9088009313973975,High,None,211.26383989535114
Coding,Easy,Science,12,9.061250802429052,125.10978264934518,0.8310935622223554,0.5108579698073796,Medium,None,293.91641318132
Presentation,Moderate,Math,12,1.389298856827598,109.76723018414404,0.4085550683249056,0.2344926326664648,Medium,None,222.08226463958266
Essay,Easy,Math,46,5.75155569458156,67.38570832703061,0.20033891905490375,0.9369420346666771,Medium,Full,279.6878702440406
Coding,Easy,Math,47,10.985359971297036,135.91844266833328,0.6133685422632774,0.5128346041007844,Medium,None,244.22684319232226
Math Problems,Moderate,Math,15,3.4081236405582525,73.1084591965951,0.6234077839941898,0.26346827969093967,Medium,Partial,61.48768240825345
