HomeworkType,Difficulty,Length,StudyHours,PreviousCompletionTime,Subject,StudentFocusLevel,SubmissionUrgency,TeacherClarity,ResourcesProvided,CompletionTime
Coding,Easy,20,1.53,59,Literature,10,Low,1,Partial,166.43
MCQ,Medium,5,6.17,52,Programming,8,Low,8,Full,22.62
Coding,Easy,14,1.06,84,Literature,7,Medium,10,None,112.96
MCQ,Hard,10,2.66,167,Math,7,Medium,9,None,132.77
Essay,Easy,18,7.68,150,History,4,Medium,10,None,121.78
Coding,Hard,16,1.8,103,Science,1,High,1,Full,321.94
MCQ,Easy,8,7.57,162,History,10,High,10,Partial,59.47
Coding,Hard,5,8.95,71,Math,5,High,4,Partial,40.63
MCQ,Hard,19,1.38,38,Math,3,Medium,7,Partial,266.98
MCQ,Easy,15,1.52,41,History,7,Low,6,Full,95.05
MCQ,Medium,4,1.95,171,Literature,7,Medium,9,None,75.9
Coding,Hard,3,7.02,62,Programming,2,Medium,10,Partial,32.37
Coding,Easy,10,3.75,140,Programming,10,High,10,None,65.42
Coding,Medium,17,6.22,110,History,9,Medium,7,Partial,91.52
Essay,Medium,8,6.37,177,Math,9,High,8,Full,65.54
MCQ,Easy,7,2.9,133,History,2,High,8,Partial,89.84
MCQ,Medium,20,9.35,48,Math,5,Low,7,Full,83.8
Coding,Hard,18,2.75,78,Math,10,Low,7,Partial,152.38
MCQ,Easy,13,6.08,42,History,10,High,9,Partial,39.63
Coding,Hard,11,3.52,70,Literature,1,Low,4,Full,176.6
MCQ,Hard,4,2.6,109,History,3,High,1,Partial,89.84
Essay,Hard,9,4.05,119,History,5,Medium,1,None,166.1
Essay,Medium,10,3.48,128,History,4,High,3,None,148.98
Coding,Easy,5,6.86,87,Math,8,Low,4,Full,50.28
Coding,Easy,5,8.71,38,Programming,7,Medium,10,Partial,22.73
Essay,Hard,17,5.53,129,Math,10,Low,9,Partial,111.07
Essay,Hard,16,8.45,89,Science,1,High,3,Partial,185.96
MCQ,Medium,20,5.28,144,Math,2,High,10,Full,141.24
Essay,Hard,11,9.84,24,Math,2,Low,5,Full,76.52
Coding,Hard,20,9.68,147,Science,1,Medium,9,Partial,175.38
Coding,Easy,3,1.8,116,Math,5,High,4,Full,43.4
Coding,Medium,8,4.68,172,Math,1,High,8,None,135.66
Essay,Easy,4,9.26,61,History,5,High,6,None,29.46
MCQ,Hard,15,8.85,69,History,3,High,6,Partial,111.57
Coding,Easy,15,1.17,115,Literature,4,High,9,Partial,130.06
Essay,Hard,6,9.87,111,Literature,7,High,7,None,53.25
Essay,Hard,6,4.26,163,Programming,8,High,3,None,91.02
Coding,Easy,7,2.01,126,Science,5,Low,9,Partial,84.68
Coding,Hard,6,9.57,98,Math,10,Low,8,Partial,39.28
Essay,Hard,16,6.0,17,Literature,7,High,1,Partial,110.21
Coding,Medium,7,6.63,21,Science,3,Medium,10,Full,42.36
Essay,Easy,7,9.48,46,Science,3,Medium,2,Partial,59.16
Coding,Medium,9,6.03,167,Literature,1,Low,10,None,138.5
MCQ,Medium,9,4.6,127,Science,3,Medium,3,Full,109.39
Coding,Medium,6,8.3,155,Science,2,Medium,3,None,97.49
Essay,Medium,15,8.68,150,Math,6,Low,10,None,104.63
MCQ,Medium,2,7.82,21,Math,9,High,6,None,20.72
Coding,Easy,4,1.71,171,History,9,Medium,9,None,62.67
Essay,Medium,15,9.66,67,Programming,9,Low,2,Full,69.19
Coding,Hard,8,8.66,111,Programming,3,Medium,7,None,102.27
MCQ,Medium,9,4.84,64,Math,9,Medium,9,None,58.9
MCQ,Hard,11,4.67,148,History,6,Medium,3,Partial,147.85
MCQ,Hard,19,5.78,77,Math,9,Medium,4,Full,113.12
Coding,Medium,8,6.0,132,Science,10,Medium,9,Full,48.87
MCQ,Easy,16,8.25,120,Math,3,High,9,None,93.85
MCQ,Hard,10,1.13,143,Math,2,Medium,2,Full,228.59
Coding,Easy,6,4.48,24,Math,7,Medium,4,None,52.35
MCQ,Easy,5,3.03,23,Science,10,Medium,5,Partial,31.63
MCQ,Easy,4,4.7,61,History,2,Low,5,Full,56.14
MCQ,Easy,2,1.64,48,Literature,4,Medium,6,Full,27.21
Coding,Hard,7,9.61,71,Programming,6,High,2,Partial,65.15
Essay,Hard,9,2.23,24,Programming,9,Low,8,None,74.89
MCQ,Medium,16,1.84,164,Literature,1,High,4,Partial,290.04
Coding,Hard,11,9.88,22,History,8,Low,9,None,54.68
Essay,Medium,3,6.89,159,History,6,Medium,7,Partial,61.94
MCQ,Medium,20,5.81,50,Science,7,Medium,8,None,109.88
Essay,Easy,19,7.28,160,Programming,7,Low,5,Partial,118.54
Coding,Medium,3,2.54,45,Programming,7,High,9,Partial,32.78
Essay,Easy,14,6.36,79,Literature,8,High,6,Full,48.72
Coding,Hard,15,2.07,119,Science,10,Low,7,None,161.71
