QuestionID,StudentID,AnswerLength,TimeTaken,Correctness,Grade,QuestionType,Subject,Difficulty
Q2,S12,928,85.16,84,7.8,Essay,Literature,Medium
Q3,S58,819,131.02,83,7.9,Multiple Choice,Geography,Medium
Q4,S93,254,66.58,65,6.9,Essay,Science,Easy
Q5,S52,564,96.09,41,3.9,Short Answer,History,Easy
Q6,S20,152,124.13,44,3.8,Essay,Math,Easy
Q7,S29,626,107.39,24,2.3,Multiple Choice,Literature,Medium
Q8,S14,136,169.78,95,10.0,Essay,Literature,Hard
Q9,S80,558,30.24,58,6.5,Multiple Choice,Math,Easy
Q10,S31,85,11.61,78,7.2,Short Answer,Literature,Easy
Q11,S73,105,83.12,42,5.1,Multiple Choice,Math,Easy
Q12,S53,876,3.7,37,3.4,Essay,Math,Medium
Q13,S99,381,75.96,98,9.1,Short Answer,History,Hard
Q14,S97,780,149.01,12,1.4,Essay,Science,Hard
Q15,S82,633,80.17,8,0.3,Short Answer,Math,Hard
Q16,S5,99,26.84,49,5.1,Multiple Choice,Literature,Hard
Q17,S48,516,2.5,21,1.7,Essay,Literature,Medium
Q18,S36,954,107.78,36,4.2,Essay,Literature,Hard
Q19,S95,793,177.8,50,5.4,Multiple Choice,Geography,Easy
Q20,S17,684,94.9,43,4.9,Short Answer,Math,Hard
Q21,S13,787,63.87,98,9.1,Essay,Science,Hard
Q22,S55,523,148.24,4,1.1,Essay,Math,Easy
Q23,S96,6,164.43,15,1.5,Multiple Choice,Science,Medium
Q24,S34,971,178.9,58,6.7,Multiple Choice,Geography,Hard
Q25,S99,712,20.42,63,6.7,Multiple Choice,Literature,Easy
Q26,S70,812,133.99,12,2.0,Multiple Choice,Geography,Hard
Q27,S60,891,114.25,22,2.4,Multiple Choice,Science,Hard
Q28,S52,148,138.36,8,1.0,Multiple Choice,History,Medium
Q29,S79,482,16.94,30,3.8,Short Answer,Math,Medium
Q30,S19,904,168.16,95,9.2,Essay,Science,Hard
Q31,S79,365,90.9,61,5.1,Short Answer,History,Easy
Q32,S54,217,37.83,86,8.2,Multiple Choice,Geography,Easy
Q33,S23,138,153.46,35,3.5,Essay,Geography,Medium
Q34,S30,257,34.09,85,8.3,Short Answer,Geography,Easy
Q35,S22,837,10.92,8,1.4,Short Answer,History,Easy
Q36,S32,506,23.77,28,1.9,Multiple Choice,Literature,Medium
Q37,S77,565,119.22,59,6.2,Essay,Math,Hard
Q38,S49,668,177.9,64,7.2,Multiple Choice,Math,Hard
Q39,S44,429,58.88,44,4.5,Essay,Literature,Medium
Q40,S52,164,108.29,93,10.1,Short Answer,Literature,Hard
Q41,S88,959,47.15,86,9.5,Short Answer,History,Hard
Q42,S18,316,157.7,91,9.0,Multiple Choice,Math,Easy
Q43,S40,796,150.15,86,9.5,Short Answer,History,Easy
Q44,S74,960,19.12,33,2.6,Essay,History,Hard
